firstAuthor	accessionId	publicationDate	journal	title	reportedTrait	efoTraits	bgTraits	discoverySampleAncestry	"replicationSampleAncestry"	associationCount	summaryStatistics	ssApiFlag	agreedToCc0	genotypingTechnologies	pubmedId	initialSampleDescription	"replicateSampleDescription"
"Sun BB"	GCST90240662	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cell surface glycoprotein CD200 receptor 2 levels (CD200R1L.8980.19.3)"	"cell surface glycoprotein CD200 receptor 2 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240662"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240663	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cellular retinoic acid-binding protein 1 levels (CRABP1.11967.23.3)"	"cellular retinoic acid-binding protein 1 measurement"	-	"3301 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240663"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240664	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cellular retinoic acid-binding protein 2 levels (CRABP2.11696.7.3)"	"cellular retinoic acid-binding protein 2 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240664"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240665	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cellular tumor antigen p53 levels (TP53.6152.111.3)"	"cellular tumor antigen p53 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240665"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240666	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Centrin-2 levels (CETN2.13078.3.3)"	"centrin-2 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240666"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240667	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Centromere protein W levels (CENPW.8864.59.3)"	"centromere protein W measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240667"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240668	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Centrosomal protein of 57 kDa levels (CEP57.11276.1.3)"	"centrosomal protein of 57 kDa measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240668"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240669	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Centrosomal protein of 57 kDa levels (CEP57.9067.152.3)"	"centrosomal protein of 57 kDa measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240669"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240670	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Centrosomal protein of 57 kDa levels (CEP57.9905.8.3)"	"centrosomal protein of 57 kDa measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240670"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240695	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chorionic somatomammotropin hormone levels (CSH1.CSH2.13103.125.3)"	"chorionic somatomammotropin hormone measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240695"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240696	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chromobox protein homolog 5 levels (CBX5.4540.11.2)"	"chromobox protein homolog 5 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240696"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240697	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chromobox protein homolog 7 levels (CBX7.13027.20.3)"	"chromobox protein homolog 7 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240697"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240698	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chromodomain-helicase-DNA-binding protein 7 levels (CHD7.14005.2.3)"	"chromodomain-helicase-DNA-binding protein 7 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240698"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240699	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chromogranin-A levels (CHGA.8476.11.3)"	"chromogranin-A measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240699"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240700	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chymase levels (CMA1.3423.59.2)"	"chymase measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240700"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240701	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chymotrypsin-C levels (CTRC.5626.20.3)"	"chymotrypsin-C measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240701"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240702	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chymotrypsin-like elastase family member 2A levels (CELA2A.7140.1.3)"	"chymotrypsin-like elastase family member 2A measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240702"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240703	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chymotrypsin-like elastase family member 3B levels (CELA3B.6357.83.3)"	"chymotrypsin-like elastase family member 3B measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240703"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240704	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chymotrypsin-like protease CTRL-1 levels (CTRL.9229.9.3)"	"chymotrypsin-like protease CTRL-1 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240704"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240705	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Chymotrypsinogen B levels (CTRB1.5671.1.3)"	"chymotrypsinogen B measurement"	-	"3301 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240705"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240706	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Cilia- and flagella-associated protein 45 levels (CFAP45.6553.68.3)"	"cilia- and flagella-associated protein 45 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240706"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240707	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Ciliary neurotrophic factor levels (CNTF.3489.9.2)"	"ciliary neurotrophic factor measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240707"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240708	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Ciliary neurotrophic factor receptor subunit alpha levels (CNTFR.14101.2.3)"	"ciliary neurotrophic factor receptor subunit alpha measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240708"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240709	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Ciliary neurotrophic factor receptor subunit alpha levels (CNTFR.2711.6.2)"	"ciliary neurotrophic factor receptor subunit alpha measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240709"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240710	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Ck-beta-8-1 levels (CCL23.3028.36.2)"	"Ck-beta-8-1 measurement"	-	"3301 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240710"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240711	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Clathrin heavy chain 1 levels (CLTC.13711.10.3)"	"clathrin heavy chain 1 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240711"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240712	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Clathrin interactor 1 levels (CLINT1.11659.31.3)"	"clathrin interactor 1 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240712"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240713	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Clusterin levels (CLU.4542.24.2)"	"clusterin measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240713"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240714	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 levels (ST3GAL1.5657.28.3)"	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240714"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240715	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 levels (ST3GAL2.6281.51.3)"	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240715"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240716	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase levels (ST8SIA4.7038.45.3)"	"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240716"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240717	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"CMRF35-like molecule 1 levels (CD300LF.5623.11.3)"	"CMRF35-like molecule 1 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240717"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240718	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"CMRF35-like molecule 2 levels (CD300E.10798.4.3)"	"CMRF35-like molecule 2 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240718"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240719	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"CMRF35-like molecule 6 levels (CD300C.5066.134.3)"	"CMRF35-like molecule 6 measurement"	-	"3301 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240719"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240322	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Apoptosis-inducing factor 1, mitochondrial levels (AIFM1.9522.3.3)"	"apoptosis-inducing factor 1, mitochondrial measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240322"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240323	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Apoptotic protease-activating factor 1 levels (APAF1.13583.19.3)"	"apoptotic protease-activating factor 1 measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240323"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240324	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Appetite-regulating hormone levels (GHRL.8447.11.3)"	"appetite-regulating hormone measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240324"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240557	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calcium/calmodulin-dependent protein kinase type II subunit alpha levels (CAMK2A.3350.53.2)"	"calcium/calmodulin-dependent protein kinase type II subunit alpha measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240557"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240558	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calcium/calmodulin-dependent protein kinase type II subunit beta levels (CAMK2B.3351.1.1)"	"calcium/calmodulin-dependent protein kinase type II subunit beta measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240558"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240559	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calcyclin-binding protein levels (CACYBP.12432.23.3)"	"calcyclin-binding protein measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240559"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240560	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calcyphosin-like protein levels (CAPSL.13688.2.3)"	"calcyphosin-like protein measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240560"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240561	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calnexin levels (CANX.8834.58.3)"	"calnexin measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240561"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240562	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calpain-2 catalytic subunit levels (CAPN2.14684.17.3)"	"calpain-2 catalytic subunit measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240562"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240563	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calpain-3 levels (CAPN3.12385.4.3)"	"calpain-3 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240563"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240564	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calpastatin levels (CAST.3026.5.2)"	"calpastatin measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240564"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240565	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calreticulin levels (CALR.5264.65.3)"	"calreticulin measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240565"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240566	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calsenilin levels (KCNIP3.10513.13.3)"	"calsenilin measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240566"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240567	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"Calsyntenin-3 levels (CLSTN3.6291.55.3)"	"calsyntenin-3 measurement"	-	"3301 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240567"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240568	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"cAMP-dependent protein kinase catalytic subunit alpha levels (PRKACA.3466.8.2)"	"cAMP-dependent protein kinase catalytic subunit alpha measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240568"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
"Sun BB"	GCST90240569	2018-06-06	Nature	"Genomic atlas of the human plasma proteome."	"cAMP-dependent protein kinase type I-beta regulatory subunit levels (PRKAR1B.12479.50.3)"	"cAMP-dependent protein kinase type I-beta regulatory subunit measurement"	-	"3301 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240569"	no	no	"Genome-wide genotyping array"	29875488	"3,301 European ancestry individuals"	NA
